step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
473,CASH_OUT,182100.17,C8303246292,9606.96,0.0,C549436407,0.0,158671.04,0,0
247,CASH_IN,27934.07,C9037231130,29888.86,1943.33,M1299357209,4784.99,31609.81,0,0
166,PAYMENT,4699.04,C8642951267,52687.96,47956.56,M1566346829,0.0,4402.21,0,0
36,CASH_OUT,446831.28,C9471371735,746.93,0.0,C3228960418,34108.09,419015.47,0,0
273,PAYMENT,393167.96,C4938469586,0.0,0.0,M7388715288,0.0,346436.46,0,0
116,CASH_OUT,6624.17,C5605849421,23961.63,17326.75,C2614521974,96560.84,103075.23,0,0
126,CASH_IN,25690.08,C7766350808,140547.72,114884.17,M5046409218,86248.22,110747.95,0,0
430,CASH_OUT,49063.63,C9884420732,39274.7,0.0,C3123706454,27653.07,70239.21,0,0
137,TRANSFER,2131728.92,C7726739665,16484.37,0.0,C6535478235,127943.48,1982607.5,0,0
630,CASH_IN,12224.02,C5170259679,16894.87,4643.22,M9001764434,0.0,10788.79,0,0
310,CASH_OUT,1932.2,C9046368418,0.0,0.0,C8665658925,230892.4,232625.08,0,0
201,CASH_OUT,127148.56,C8101676483,1127806.98,1000770.87,C8716420886,0.0,112162.32,0,0
283,CASH_IN,7606.58,C1561108995,0.0,0.0,M5232214118,0.0,7175.34,0,0
503,CASH_IN,32949.95,C3689722503,15787.85,0.0,M2959212950,0.0,29068.12,0,0
18,CASH_IN,92507.54,C8570185650,57496.67,0.0,M914630255,24858.28,105962.75,0,0
429,CASH_IN,128881.07,C8620064079,0.0,0.0,M9846583604,5259.31,118877.68,0,0
431,CASH_OUT,155770.57,C7205411215,553393.26,397671.09,C3157899706,0.0,151071.73,0,0
682,PAYMENT,75860.8,C5205741703,151916.8,76013.19,M5507268098,7055.3,81995.78,0,0
209,CASH_OUT,18060.71,C2477692557,4284.96,0.0,C397085013,0.0,16259.67,0,0
78,CASH_IN,33967.34,C5152182075,0.0,0.0,M1139466538,4797.73,37106.75,0,0
81,PAYMENT,2844.23,C2429226344,1477.26,0.0,M3012972742,15542.99,18263.43,0,0
288,CASH_OUT,41498.93,C7510304862,553421.64,511971.83,C5990578507,5702.32,46708.46,0,0
460,CASH_OUT,113824.09,C2907546057,0.0,0.0,C7335836461,0.0,103680.59,0,0
484,CASH_OUT,29998.95,C7135524096,0.0,0.0,C2396664911,47707.42,75723.65,0,0
281,CASH_OUT,236809.85,C7481810645,109869.37,0.0,C144625003,0.0,235119.94,0,0
147,CASH_IN,171269.05,C6759251800,0.0,0.0,M9946292581,0.0,154837.16,0,0
592,PAYMENT,27146.39,C4211676664,0.0,0.0,M1352294727,20060.16,45196.4,0,0
31,CASH_IN,106293.77,C630329909,0.0,0.0,M9660518221,42662.06,143813.59,0,0
294,PAYMENT,5306.34,C8728519978,113187.85,107946.89,M8699047921,0.0,4934.44,0,0
148,CASH_OUT,253248.26,C5463365524,8474.42,0.0,C4220126866,178965.98,430149.39,0,0
163,CASH_IN,80938.72,C5085234783,0.0,0.0,M6402451871,34655.96,104082.43,0,0
675,CASH_IN,477687.74,C7813089652,7324.54,0.0,M2617517346,0.0,422995.93,0,0
567,PAYMENT,375628.1,C950757106,34740.54,0.0,M2378978256,0.0,368535.56,0,0
384,CASH_IN,64094.43,C8791282132,716505.3,652361.04,M5909724186,123310.9,178521.27,0,0
356,PAYMENT,462843.23,C3037357287,0.0,0.0,M8353275192,0.0,401866.0,0,0
496,PAYMENT,136240.33,C9839042414,0.0,0.0,M7788004240,436869.78,566928.66,0,0
314,PAYMENT,687876.26,C3435566294,24019.43,0.0,M6405002260,0.0,650078.44,0,0
692,CASH_OUT,331689.55,C1623613978,25747.22,0.0,C9729919868,452568.92,772678.78,0,0
665,CASH_OUT,5267.02,C9755008393,21979.11,16776.6,C8276763596,117594.36,122587.66,0,0
488,CASH_OUT,13936.81,C6140308317,102955.57,89081.4,C944282209,218818.06,232623.85,0,0
306,PAYMENT,5065.55,C9382266511,4219484.37,4214476.13,M1067531885,63638.91,68456.66,0,0
582,CASH_OUT,88758.61,C4547423244,1653491.02,1564761.53,C2885822774,4006.18,87517.38,0,0
628,PAYMENT,245391.27,C3915671989,104037.83,0.0,M1502543678,0.0,241996.91,0,0
499,CASH_IN,31116.67,C5262934440,0.0,0.0,M3443890429,0.0,31087.24,0,0
596,CASH_OUT,478948.58,C9468221341,24369.82,0.0,C9700157892,0.0,460700.37,0,0
649,PAYMENT,112859.11,C8876115055,0.0,0.0,M7293955331,53672.09,154292.33,0,0
213,CASH_IN,23123.64,C2514462683,0.0,0.0,M9702927868,99587.31,119260.72,0,0
359,CASH_OUT,102478.31,C6582702525,0.0,0.0,C4939650096,78560.4,167291.65,0,0
152,CASH_OUT,110355.23,C2480762113,0.0,0.0,C2083378380,3381.21,107084.16,0,0
3,CASH_OUT,70266.57,C5582727065,43048.34,0.0,C2267929232,777532.44,845688.23,0,0
658,CASH_OUT,15525.17,C891516393,0.0,0.0,C7448187326,0.0,13378.2,0,0
724,TRANSFER,409051.06,C3971060589,5434.96,0.0,C6954685486,0.0,354559.17,0,0
239,CASH_IN,501326.6,C6775181377,32388.39,0.0,M9672667795,244920.42,694145.7,0,0
313,PAYMENT,62528.55,C3734380885,602354.36,539911.98,M5713067795,0.0,62362.18,0,0
107,CASH_IN,20948.97,C9349238466,479193.8,458209.55,M8030621721,15702.57,33782.86,0,0
674,CASH_IN,78961.07,C3191608161,0.0,0.0,M221677712,0.0,67384.42,0,0
309,CASH_OUT,41615.89,C5559523438,159860.81,118308.28,C4521695485,13220.65,51335.12,0,0
704,CASH_IN,205691.99,C4092131447,0.0,0.0,M4073377950,0.0,184845.87,0,0
686,PAYMENT,131541.92,C9581492151,0.0,0.0,M4620333403,35911.33,167406.16,0,0
123,CASH_IN,89001.68,C5963481502,0.0,0.0,M6151032511,0.0,76207.5,0,0
434,CASH_IN,132186.22,C6795526343,60368.09,0.0,M3000232476,0.0,124641.96,0,0
279,CASH_OUT,109055.96,C8128917369,0.0,0.0,C5555993638,152790.38,253957.71,0,0
287,CASH_OUT,23206.32,C5280511576,139681.22,116499.66,C9274218138,12705.58,33675.02,0,0
440,CASH_OUT,127424.94,C6281917846,0.0,0.0,C3524644108,0.0,109735.06,0,0
653,PAYMENT,1017824.43,C1828315995,0.0,0.0,M9494286770,0.0,960101.2,0,0
443,CASH_IN,377460.18,C8452458793,66257.33,0.0,M8031272868,0.0,323963.16,0,0
731,CASH_IN,44991.54,C4867856147,93376.02,48353.46,M2214137344,568883.63,608470.36,0,0
91,CASH_OUT,1281.57,C2176979215,1508050.78,1506838.6,C6354026024,0.0,1101.82,0,0
426,PAYMENT,31236.27,C2319889372,0.0,0.0,M7171840586,323899.61,351076.22,0,0
291,PAYMENT,25545.42,C2100669309,0.0,0.0,M1918376084,529666.76,554031.04,0,0
361,CASH_OUT,287938.93,C4807645752,98083.61,0.0,C1588023346,5033.91,283427.07,0,0
248,CASH_OUT,12420.47,C5592356568,0.0,0.0,C4678952591,96807.1,107608.77,0,0
178,CASH_OUT,1729.81,C1927236592,0.0,0.0,C6750674093,536977.44,538473.0,0,0
406,TRANSFER,609288.56,C4729454222,27781.99,0.0,C2819472032,0.0,568910.77,0,0
98,CASH_OUT,187770.63,C463067975,0.0,0.0,C5153318538,19088.03,184561.25,0,0
248,PAYMENT,20874.45,C3848696336,0.0,0.0,M8133445646,100284.4,118303.86,0,0
542,CASH_IN,17660.45,C1711021626,6302.87,0.0,M1029249541,0.0,15650.98,0,0
447,PAYMENT,83246.08,C6943553072,0.0,0.0,M170371919,0.0,74936.42,0,0
73,TRANSFER,674362.89,C1601205960,0.0,0.0,C5795349263,1613904.45,2238349.37,0,0
735,TRANSFER,70114.06,C6431041281,140451.27,70220.44,C8113845280,0.0,68573.97,0,0
272,CASH_OUT,1212156.41,C3013799755,15055.81,0.0,C8181805527,0.0,1086672.34,0,0
356,PAYMENT,18429.96,C2188098398,0.0,0.0,M9792916523,0.0,16509.33,0,0
426,CASH_OUT,44520.02,C4918305214,1647.39,0.0,C2183653540,61250.0,100994.22,0,0
2,CASH_OUT,126735.22,C9777791236,0.0,0.0,C9559831607,60524.71,170211.0,0,0
37,CASH_OUT,203636.29,C1357634776,0.0,0.0,C5941805273,0.0,188928.4,0,0
35,PAYMENT,165352.15,C6024206126,0.0,0.0,M6392780106,6322.59,150157.69,0,0
564,PAYMENT,7164.41,C9852859104,0.0,0.0,M4795693066,10381.58,16620.35,0,0
62,CASH_OUT,120946.05,C8663677237,0.0,0.0,C9130302647,0.0,103449.49,0,0
645,CASH_OUT,52177.69,C1227690000,0.0,0.0,C4596531924,31939.3,80676.13,0,0
40,TRANSFER,860236.07,C8171829384,951.64,0.0,C1658056407,18734.76,866126.54,0,0
182,CASH_OUT,26846.84,C7560466163,2781662.52,2754838.7,C3766965895,0.0,25288.13,0,0
189,CASH_OUT,71485.3,C8690622773,36559.6,0.0,C376443604,0.0,70850.27,0,0
200,PAYMENT,18154.53,C2020523979,172130.59,154034.8,M2474653422,116124.98,132298.55,0,0
369,TRANSFER,20129.56,C9023704943,27090.31,6970.96,C6014273877,83927.92,102000.78,0,0
116,CASH_OUT,385396.79,C1077186200,125289.53,0.0,C2089898490,25763.75,373439.55,0,0
8,PAYMENT,46295.51,C2003389541,260642.95,214478.69,M2760210730,69976.07,112014.89,0,0
360,CASH_IN,1851099.65,C5865463927,0.0,0.0,M3352668603,0.0,1596517.45,0,0
665,CASH_OUT,31927.94,C7112113114,172281.29,140348.96,C6755651554,0.0,28576.4,0,0
342,CASH_IN,22016.22,C2433707261,37118.26,15189.62,M180547434,0.0,20696.74,0,0
721,PAYMENT,45805.32,C5925328299,53211.67,7444.73,M9908362593,0.0,43478.56,0,0
39,PAYMENT,8165.24,C6769347241,0.0,0.0,M7740728105,966821.23,973905.49,0,0
228,PAYMENT,2258.08,C5085456714,0.0,0.0,M3540940372,0.0,2110.55,0,0
572,PAYMENT,48907.27,C1873284025,21989.06,0.0,M3777480766,0.0,46991.85,0,0
181,CASH_OUT,119309.57,C8360636742,0.0,0.0,C1960106510,274653.06,383933.47,0,0
478,CASH_IN,152531.55,C7401159294,0.0,0.0,M8750750024,0.0,131317.4,0,0
318,CASH_OUT,177952.18,C9411935790,0.0,0.0,C4866911717,0.0,164968.29,0,0
146,CASH_OUT,151605.5,C5635657599,0.0,0.0,C9793756572,40244.54,179225.09,0,0
603,CASH_OUT,240113.4,C1704339112,0.0,0.0,C5031279364,0.0,229253.72,0,0
571,PAYMENT,28151.52,C7481612303,156977.0,128893.91,M5747592779,346829.83,374500.92,0,0
310,PAYMENT,184475.12,C4860948937,5899.98,0.0,M7112464120,0.0,166971.74,0,0
651,CASH_OUT,71960.52,C4625924399,0.0,0.0,C6997761868,32125.99,96223.23,0,0
698,PAYMENT,37596.81,C3778455076,122165.33,84575.48,M4409134507,0.0,35883.83,0,0
293,CASH_OUT,220496.13,C931908787,26549.52,0.0,C3995452422,24816.31,237360.65,0,0
323,PAYMENT,403201.65,C2023430085,0.0,0.0,M2665979077,197910.39,550015.53,0,0
165,CASH_OUT,26137.34,C1038964293,1481.53,0.0,C871089885,698709.36,722105.1,0,0
281,CASH_IN,131418.91,C5875505789,46902.61,0.0,M1700268723,0.0,120421.56,0,0
99,PAYMENT,113081.43,C3238301186,0.0,0.0,M2168999908,4516.17,101575.04,0,0
436,TRANSFER,6522210.2,C1527845808,0.0,0.0,C2939943803,6170.79,6492364.62,0,0
326,CASH_OUT,9327.51,C8279151095,0.0,0.0,C6376236359,2607.74,11525.78,0,0
463,CASH_OUT,156797.23,C895098314,1736.34,0.0,C604517077,0.0,137528.01,0,0
291,CASH_OUT,30206.28,C146283988,0.0,0.0,C1923620932,1383.96,31480.24,0,0
716,TRANSFER,45412.91,C5572954577,3717.23,0.0,C2539486844,0.0,42153.0,0,0
135,CASH_IN,28163.16,C8077805930,0.0,0.0,M9032940212,833.47,26777.26,0,0
126,CASH_OUT,58200.24,C404239910,3652.81,0.0,C2192812908,275507.76,328043.49,0,0
443,PAYMENT,121102.17,C4183078837,7702.02,0.0,M9826656953,465592.45,582695.21,0,0
22,CASH_IN,437482.52,C2596458220,166024.45,0.0,M1771406880,0.0,374205.01,0,0
668,PAYMENT,152776.66,C4839744876,2726.78,0.0,M4584210105,16456.6,149619.54,0,0
396,PAYMENT,57400.36,C9419520701,0.0,0.0,M1217556284,51792.57,105439.37,0,0
119,CASH_OUT,248137.91,C744976123,9411.39,0.0,C1080411717,0.0,211124.78,0,0
41,CASH_OUT,41043.62,C9527567258,0.0,0.0,C3512746461,270822.68,305805.03,0,0
721,CASH_IN,77837.45,C3428480383,177025.7,99167.11,M7616290920,43705.03,116065.36,0,0
715,CASH_IN,8757.07,C5225747077,476356.37,467527.42,M4183067869,0.0,8104.88,0,0
365,PAYMENT,81684.61,C7516019468,48606.21,0.0,M129083111,0.0,77531.7,0,0
574,CASH_OUT,36960.25,C752041699,217090.67,180083.62,C7678530198,14941.4,51009.95,0,0
81,CASH_OUT,3690.24,C5890591870,3485.85,0.0,C4189411665,0.0,3169.37,0,0
600,CASH_IN,74581.55,C7287451753,0.0,0.0,M8663699483,0.0,67056.75,0,0
52,CASH_IN,43040.19,C5217529065,4726.87,0.0,M1743618369,0.0,42884.4,0,0
80,CASH_IN,274388.95,C7148934455,450941.83,176564.61,M7648927177,0.0,237064.33,0,0
400,CASH_IN,44848.8,C2798468498,715.46,0.0,M1307780084,0.0,41618.03,0,0
497,PAYMENT,12924.47,C6748557299,33960.53,20946.26,M9194769342,0.0,12813.22,0,0
296,CASH_OUT,21176.78,C9040273863,19874.82,0.0,C7125812810,0.0,18749.29,0,0
150,CASH_OUT,116694.67,C6822888819,14328.93,0.0,C5281048380,0.0,103112.07,0,0
472,CASH_IN,20845.31,C3449464131,0.0,0.0,M7353224368,276497.19,295667.04,0,0
491,PAYMENT,881914.13,C1913651299,25396.39,0.0,M3701438243,7665.93,839966.73,0,0
645,CASH_OUT,57308.64,C4588025345,18569.14,0.0,C863460780,5575.46,57775.33,0,0
287,CASH_OUT,1123164.5,C1919539931,260068.9,0.0,C4585676973,0.0,1013478.0,0,0
313,PAYMENT,22072.39,C4574618649,0.0,0.0,M2973213298,4979.51,26847.26,0,0
474,CASH_OUT,11852.13,C4384444867,59586.51,47704.54,C7278881549,0.0,10295.37,0,0
108,CASH_OUT,73185.19,C548088322,0.0,0.0,C3163290152,0.0,66414.69,0,0
142,PAYMENT,92785.44,C5210646685,0.0,0.0,M6736801435,132754.5,213525.97,0,0
183,CASH_IN,100377.52,C7200072385,35641.86,0.0,M1578850791,0.0,85864.57,0,0
267,PAYMENT,1525.67,C9630741574,24035.9,22551.52,M9176877723,0.0,1375.13,0,0
117,CASH_OUT,44819.24,C5375786648,22402.81,0.0,C2805086788,0.0,40392.28,0,0
673,CASH_IN,2565.6,C7951622070,38492.21,35965.01,M2333569685,871465.03,873769.62,0,0
521,CASH_OUT,68826.44,C5169283003,0.0,0.0,C2489912144,0.0,67374.58,0,0
48,CASH_OUT,2846.72,C3457948013,32947.73,30117.17,C9930101294,22432.23,25116.84,0,0
21,CASH_IN,5989.95,C5009765210,14873.22,8868.63,M2225262696,0.0,5161.19,0,0
570,PAYMENT,23360.11,C8341601556,104171.81,80864.59,M7888050314,37818.48,57918.34,0,0
221,CASH_IN,104283.26,C447348641,8755.58,0.0,M8091323037,0.0,103890.92,0,0
163,PAYMENT,13542.44,C2643660879,0.0,0.0,M3117433651,0.0,12651.39,0,0
177,PAYMENT,172195.58,C9055965644,0.0,0.0,M1191317709,7672.05,169103.87,0,0
428,CASH_OUT,33674.91,C2549937266,240861.35,207154.12,C7030159682,0.0,32727.43,0,0
515,PAYMENT,22304.16,C2132019168,0.0,0.0,M1542535194,0.0,19644.21,0,0
283,CASH_OUT,11201.49,C3910034479,0.0,0.0,C9187819451,0.0,9842.83,0,0
498,CASH_OUT,232380.87,C6159862781,119659.37,0.0,C2034574106,0.0,219805.81,0,0
668,TRANSFER,224266.62,C7057190159,0.0,0.0,C9498259825,0.0,214289.22,0,0
366,PAYMENT,13874.61,C7081498979,0.0,0.0,M6910811614,0.0,12048.13,0,0
577,CASH_IN,30532.5,C3129032178,1433.64,0.0,M4066171276,0.0,28102.26,0,0
121,PAYMENT,20650.21,C4965551699,0.0,0.0,M1384512705,0.0,19954.35,0,0
30,CASH_IN,5847.51,C1226518596,0.0,0.0,M1000089547,17256.67,22433.64,0,0
273,PAYMENT,74414.89,C9698252312,326.42,0.0,M1359479428,34741.9,108008.62,0,0
456,PAYMENT,7929.92,C8451754389,244957.44,236994.14,M3389411883,28630.4,35548.22,0,0
464,PAYMENT,82943.44,C1197833710,145194.19,62283.48,M5184013605,148600.51,225234.23,0,0
559,CASH_OUT,114292.11,C1973427654,0.0,0.0,C5140852551,87753.4,196605.88,0,0
201,CASH_IN,77790.05,C3331469396,21339.77,0.0,M7382666162,981.78,69768.49,0,0
687,CASH_OUT,17614.97,C3046990004,0.0,0.0,C5566625399,2318.12,19605.8,0,0
91,CASH_OUT,33458.5,C5756737733,0.0,0.0,C8403115442,0.0,31291.23,0,0
194,PAYMENT,325531.23,C9467514885,80584.54,0.0,M4193339847,196816.52,521051.78,0,0
80,CASH_OUT,632792.0,C8847666422,3404.64,0.0,C4098379895,0.0,540469.1,0,0
110,TRANSFER,494567.67,C8833731000,0.0,0.0,C5386341851,125323.78,580654.67,0,0
531,TRANSFER,22852.09,C2782829671,44347.01,21461.85,C9033298882,26780.54,46481.55,0,0
363,TRANSFER,239336.54,C2815196451,0.0,0.0,C208540161,324897.78,560134.43,0,0
562,PAYMENT,387236.58,C883355529,11093.37,0.0,M2308849141,5028.55,370794.98,0,0
465,CASH_OUT,280087.43,C771491143,1928.98,0.0,C9702760444,0.0,242662.71,0,0
209,TRANSFER,4259.9,C9013798091,0.0,0.0,C5925136413,61892.85,66097.23,0,0
654,PAYMENT,21420.74,C8421256204,0.0,0.0,M2022283449,22390.83,41545.65,0,0
310,TRANSFER,46067.99,C1519528940,954479.04,908436.61,C8571972901,1382629.76,1424762.58,0,0
691,TRANSFER,91916.28,C9494703769,32004.24,0.0,C800173777,7928.49,90792.3,0,0
339,CASH_IN,10787.35,C6341964098,238887.5,228068.41,M6506414405,14134.43,23606.06,0,0
309,CASH_OUT,9978.42,C192193461,47066.9,37079.36,C3049647682,0.0,9360.89,0,0
605,PAYMENT,87749.61,C7809300011,124767.08,37092.46,M4365022939,0.0,87692.89,0,0
459,CASH_IN,19103.57,C2569373915,97096.39,77993.3,M8506095854,81408.65,98746.97,0,0
600,CASH_OUT,115411.12,C7443314653,0.0,0.0,C4200810554,8260.47,112439.67,0,0
302,CASH_OUT,1362110.19,C1453890646,62811.05,0.0,C9227015834,11250.61,1354010.38,0,0
136,PAYMENT,150383.43,C909701652,0.0,0.0,M849506947,0.0,144858.9,0,0
380,TRANSFER,45630.13,C9335583186,0.0,0.0,C2718486445,60945.34,103370.31,0,0
119,CASH_IN,66019.77,C3761951482,755943.39,689973.54,M456060607,208571.57,273754.6,0,0
215,PAYMENT,33475.88,C2370345062,343733.45,310287.24,M7248876150,135537.45,163996.53,0,0
718,CASH_OUT,157984.31,C3831240782,6027.87,0.0,C681200914,0.0,149791.33,0,0
571,PAYMENT,307810.39,C1590288106,0.0,0.0,M7094237479,0.0,292473.43,0,0
170,DEBIT,2279.22,C4520023971,0.0,0.0,M5597730669,0.0,2143.16,0,0
20,CASH_OUT,3550.56,C2736031523,0.0,0.0,C1741690265,48547.54,51609.56,0,0
633,PAYMENT,27839.52,C8753306580,0.0,0.0,M8306971815,83404.01,110225.36,0,0
189,CASH_IN,120724.49,C218638610,295314.7,174595.43,M750718079,0.0,103863.76,0,0
463,CASH_IN,285615.91,C2089083671,0.0,0.0,M5257208196,0.0,252989.33,0,0
134,CASH_IN,10186.6,C6520500126,0.0,0.0,M3636334843,0.0,9174.04,0,0
520,CASH_IN,301017.34,C7793997176,2184.79,0.0,M6197501783,0.0,281920.14,0,0
495,PAYMENT,18882.02,C7139071786,123424.24,104565.21,M2714688468,0.0,16610.25,0,0
445,CASH_OUT,25912.99,C5876640019,40933.65,15062.59,C5301521373,1277.44,26318.54,0,0
335,CASH_IN,16197.02,C3384166566,4475.1,0.0,M8258690083,24766.25,40179.41,0,0
460,CASH_IN,301385.1,C9620576141,0.0,0.0,M9777045962,2609.17,285388.48,0,0
481,CASH_IN,167223.77,C3727219525,356500.75,189248.47,M7209177855,0.0,158239.29,0,0
266,TRANSFER,121358.52,C8678693333,0.0,0.0,C7244655423,34803.05,141561.99,0,0
318,PAYMENT,18244.04,C9701499844,130504.5,112317.2,M4412368609,0.0,17218.29,0,0
485,PAYMENT,6273.64,C1310686184,1169022.48,1162814.55,M4303076782,0.0,6117.68,0,0
612,CASH_IN,142575.26,C4974891476,0.0,0.0,M1591548180,43807.42,176450.99,0,0
693,PAYMENT,180206.99,C892937867,4754.78,0.0,M1356599091,7946.2,175915.36,0,0
385,CASH_IN,105925.36,C2130145026,18932.56,0.0,M1759917566,0.0,95529.89,0,0
489,CASH_IN,19693.86,C5503260299,0.0,0.0,M4179112027,29970.57,48987.32,0,0
378,CASH_IN,61821.75,C9366354866,51672.08,0.0,M5097258512,1638.74,63348.44,0,0
427,CASH_OUT,328130.06,C9328364893,9804.65,0.0,C7451902596,459044.54,766008.27,0,0
247,PAYMENT,12539.5,C7938996148,31399.26,18838.19,M4259799662,10274.08,21989.67,0,0
665,CASH_OUT,94566.26,C3170341678,19967.46,0.0,C3509328473,9521.1,95998.52,0,0
